name;tag;dob;pob;lat;lon;dep_num;dep_name;region;url
Jean Emelina;scholar;1934.0;Malaussène;43.927319;7.115851;6;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;https://fr.wikipedia.org/wiki/Jean_Emelina
Émile Borel;scholar;1871.0;Saint-Affrique;43.961458;2.854273;12;Aveyron;Occitanie;https://fr.wikipedia.org/wiki/%C3%89mile_Borel
Jean Roche (recteur);scholar;1901.0;Sorgues (Vaucluse);44.009794;4.877015;84;Vaucluse;Provence-Alpes-Côte d'Azur;https://fr.wikipedia.org/wiki/Jean_Roche_(recteur)
Maurice Agulhon;scholar;1926.0;Uzès;44.021276;4.415586;30;Gard;Occitanie;https://fr.wikipedia.org/wiki/Maurice_Agulhon
Émile Mireaux;scholar;1885.0;Mont-de-Marsan;44.0441;1.103216;40;Landes;Nouvelle-Aquitaine;https://fr.wikipedia.org/wiki/%C3%89mile_Mireaux
Georges Mailhos;scholar;1932.0;Mont-de-Marsan;44.0441;1.103216;40;Landes;Nouvelle-Aquitaine;https://fr.wikipedia.org/wiki/Georges_Mailhos
Paul Delmas-Marsalet;scholar;1898.0;Dax;44.0441;1.103216;82;Tarn-et-Garonne;Occitanie;https://fr.wikipedia.org/wiki/Paul_Delmas-Marsalet
Jacques Gonnet;scholar;1945.0;Carpentras;44.062749;5.057038;84;Vaucluse;Provence-Alpes-Côte d'Azur;https://fr.wikipedia.org/wiki/Jacques_Gonnet
Serge Vincent-Vidal;scholar;1924.0;Catalogne;44.114796;0.227375;47;Lot-et-Garonne;Nouvelle-Aquitaine;https://fr.wikipedia.org/wiki/Serge_Vincent-Vidal
Alain Aspect;scholar;1947.0;Agen;44.202304;0.631041;47;Lot-et-Garonne;Nouvelle-Aquitaine;https://fr.wikipedia.org/wiki/Alain_Aspect
Jean Brun (philosophe);scholar;1919.0;Agen;44.202304;0.631041;47;Lot-et-Garonne;Nouvelle-Aquitaine;https://fr.wikipedia.org/wiki/Jean_Brun_(philosophe)
Michel Serres;scholar;1930.0;Agen;44.202304;0.631041;47;Lot-et-Garonne;Nouvelle-Aquitaine;https://fr.wikipedia.org/wiki/Michel_Serres
Pierre Delvolvé;scholar;1940.0;Tarn-et-Garonne;44.218708;-1.290292;40;Landes;Nouvelle-Aquitaine;https://fr.wikipedia.org/wiki/Pierre_Delvolv%C3%A9
Serge Regourd;scholar;1948.0;Tarn-et-Garonne;44.218708;-1.290292;40;Landes;Nouvelle-Aquitaine;https://fr.wikipedia.org/wiki/Serge_Regourd
Dominique Roux;scholar;1943.0;Gap;44.563233;6.076778;5;Hautes-Alpes;Provence-Alpes-Côte d'Azur;https://fr.wikipedia.org/wiki/Dominique_Roux
