name;tag;dob;pob;dept_num;dept_ob;region;lat;lon;confidence
Philippe Sansonetti;college_de_france;1949;Paris;75;Paris;Île-de-France;48.859;2.347;0.97
Antoine Georges;college_de_france;1961;Paris;75;Paris;Île-de-France;48.859;2.347;0.97
Serge Abiteboul;college_de_france;1953;Paris;75;Paris;Île-de-France;48.859;2.347;0.97
Jean-Noël Robert;college_de_france;1949;Paris;75;Paris;Île-de-France;48.859;2.347;0.97
Alain Fischer;college_de_france;1949;Paris;75;Paris;Île-de-France;48.859;2.347;0.97
Georges Calas;college_de_france;1948;Paris;75;Paris;Île-de-France;48.859;2.347;0.97
Philippe Aghion;college_de_france;1956;Paris;75;Paris;Île-de-France;48.859;2.347;0.97
Patrick Boucheron;college_de_france;1965;Paris;75;Paris;Île-de-France;48.859;2.347;0.97
Bénédicte Savoy;college_de_france;1972;Paris;75;Paris;Île-de-France;48.859;2.347;0.97
Arnaud Fontanet;college_de_france;1961;Paris;75;Paris;Île-de-France;48.859;2.347;0.97
Yanick Lahens;college_de_france;1953;Port-au-Prince;75;Paris;Île-de-France;48.819018;2.365597;0.695
Jean-Philippe Bouchaud;college_de_france;1962;Paris;75;Paris;Île-de-France;48.859;2.347;0.97
Nalini Anantharaman;college_de_france;1976;Paris;75;Paris;Île-de-France;48.859;2.347;0.97
Esther Duflo;college_de_france;1972;Paris;75;Paris;Île-de-France;48.859;2.347;0.97
Benoît Peeters;college_de_france;1956;Paris;75;Paris;Île-de-France;48.859;2.347;0.97
Emile Benveniste;college_de_france;1902;Alep;83;Var;Provence-Alpes-Côte d'Azur;43.142599;5.896946;0.702
Alain Connes;college_de_france;1947;Draguignan;83;Var;Provence-Alpes-Côte d'Azur;43.532153;6.459174;0.952
Jean-Pierre Brun;college_de_france;1955;Ollioules;83;Var;Provence-Alpes-Côte d'Azur;43.134973;5.853916;0.948
Jean-François Joanny;college_de_france;1956;Toulon;83;Var;Provence-Alpes-Côte d'Azur;43.136379;5.933443;0.959
Mathilde Touvier;college_de_france;1980;La Seyne-sur-Mer;83;Var;Provence-Alpes-Côte d'Azur;43.093325;5.879651;0.954
Paul Fallot;college_de_france;1889;Strasbourg;67;Bas-Rhin;Grand Est;48.579831;7.761454;0.961
Robert Minder;college_de_france;1902;Wasselonne;67;Bas-Rhin;Grand Est;48.638764;7.442063;0.943
