Date;Sens;Sicovam ou ISIN;Valeur;Sources;Manque & Commentaires
23/03/2020;Admission;FR0011981968;Worldline;Communiqué Euronext du 12/03/2020;
22/06/2020;Retrait;FR0000121220;Sodexo;Communiqué Euronext du 11/06/2020;Remplacement de Sodexo par Teleperformance le 22/06/2020 à l'ouverture.
22/06/2020;Admission;FR0000051807;Teleperformance;Communiqué Euronext du 11/06/2020;Remplace Sodexo
21/09/2020;Retrait;FR0000120404;Accor;Communiqué Euronext du 10/09/2020;Remplacement de Accor par Alstom le 21/09/2020 à l'ouverture.
22/06/2020;Admission;FR0010220475;Alstom;Communiqué Euronext du 10/09/2020;Remplace Accor
2021;;;;;
15/01/2021;Retrait;FR0000121501;Peugeot;;Peugeot fusionne avec Fiat Chrysler Automobiles le 15/01/2020 au soir et devient Stellantis
18/01/2021;Admission;NL00150001Q9;Stellantis;;
17/09/2021;Retrait;FR0000051732;Atos;Communiqué Euronext du 09/09/2021;Atos est remplacé par Eurofins Scientific
20/09/2021;Admission;FR0014000MR3;Eurofins Scientific;Communiqué Euronext du 09/09/2021;Remplace Atos
2023;;;;;
16/06/2023;Retrait;FR0000127771;Vivendi;Communiqué Euronext du 08/06/2023;Vivendi est remplacé par Edenred
Edenred;Communiqué Euronext du 08/06/2023;;;;
15/12/2023;Retrait;FR0011981968;Worldline;Communiqué Euronext du 07/12/2023;Worldline est remplacé par Vivendi SE
18/12/2023;Admission;FR0000127771;Vivendi SE;Communiqué Euronext du 07/12/2023;
